"Издадени одобренија за градење, согласно Номенклатурата на градежни објекти, по број и површина, број на станови, по месеци"

"Месец","Број 11 Станови во станбени објекти (згради)","Број 111 Станови во објекти (згради) со еден стан","Број 112 Станови во објекти (згради) со два и повеќе стана","Број 113 Станови на заедници","Број 12 Нестанбени згради","Број 121 Хотели и слични згради","Број 122 Деловни згради","Број 123 Згради во трговијата на големо и на мало","Број 124 Згради за сообраќај и други комуникации","Број 125 Индустриски згради и складишта","Број 126 Згради за разонода на публика, за образование, болници или згради за институционална грижа","Број 127 Други нестанбени згради","Површина ( во m2 ) 11 Станови во станбени објекти (згради)","Површина ( во m2 ) 111 Станови во објекти (згради) со еден стан","Површина ( во m2 ) 112 Станови во објекти (згради) со два и повеќе стана","Површина ( во m2 ) 113 Станови на заедници","Површина ( во m2 ) 12 Нестанбени згради","Површина ( во m2 ) 121 Хотели и слични згради","Површина ( во m2 ) 122 Деловни згради","Површина ( во m2 ) 123 Згради во трговијата на големо и на мало","Површина ( во m2 ) 124 Згради за сообраќај и други комуникации","Површина ( во m2 ) 125 Индустриски згради и складишта","Површина ( во m2 ) 126 Згради за разонода на публика, за образование, болници или згради за институционална грижа","Површина ( во m2 ) 127 Други нестанбени згради"
"2010М01",195,51,144,-,21,-,2,5,1,6,2,5,17601,5844,11757,-,7143,-,441,405,29,3980,985,1303
"2010М02",300,73,227,-,30,4,-,8,1,9,1,7,26531,8418,18113,-,12851,414,-,3123,70,4811,190,4243
"2010М03",248,75,173,-,34,1,4,13,1,5,2,8,24566,10268,14298,-,30382,456,12241,9303,18,4544,861,2959
"2010М04",662,83,579,-,31,1,-,15,2,7,2,4,47905,9978,37927,-,11176,400,-,4461,87,4488,774,966
"2010М05",318,74,244,-,33,-,3,14,1,6,4,5,32073,9407,22666,-,9206,-,1446,979,34,2026,4014,707
"2010М06",379,88,291,-,27,3,2,8,1,7,1,5,36520,10601,25919,-,11727,1476,969,3624,18,4301,1081,258
"2010М07",410,82,328,-,27,-,-,11,1,5,3,7,37900,10992,26908,-,13821,-,-,3459,112,7918,1644,688
"2010М08",492,85,407,-,34,-,-,22,1,2,-,9,40987,9735,31252,-,16019,-,-,13366,34,1899,-,720
"2010М09",541,85,456,-,43,1,2,17,2,11,2,8,49770,10100,39670,-,84953,310,11745,8074,164,62414,1350,896
"2010М10",273,67,206,-,34,-,1,12,4,6,7,4,26106,8002,18104,-,61810,-,3108,12039,35204,8734,2233,492
"2010М11",822,82,740,-,28,2,-,15,3,4,-,4,58329,10633,47696,-,10638,1500,-,2636,136,6086,-,280
"2010М12",858,91,767,-,54,1,1,25,3,8,11,5,68339,10472,57867,-,65904,1492,250,8940,5417,38761,9194,1850
"2011М01",265,56,209,-,22,-,-,8,1,10,2,1,27753,9505,18248,-,10833,-,-,2926,22,6625,760,500
"2011М02",376,39,337,-,27,1,-,14,-,5,-,7,30036,4877,25159,-,11203,243,-,4983,-,2714,-,3263
"2011М03",382,41,341,-,26,-,1,9,1,10,2,3,38201,4922,33279,-,28769,-,178,8129,13635,4153,2366,308
"2011М04",367,61,306,-,26,1,-,14,-,8,2,1,30671,7069,23602,-,10670,706,-,5300,-,2181,2075,408
